Module (or Feature),Analysis,P value,Q value,Direction
Aquabacterium,Longitudinal analysis DFSO- overall average,0.007995104253019117,0.031409338136860816,Severe
Bacteroides,Longitudinal analysis DFSO - overall shape,0.030379361107467123,0.12329712573301722,Severe
Bacteroides,Longitudinal analysis DFSO- overall average,1.3372975491016689e-5,1.9508580470707426e-4,Severe
Brevibacterium,Longitudinal analysis DFSO- overall average,0.034812989668869705,0.07179829629101461,Severe
Burkholderia,Longitudinal analysis DFSO- overall average,0.004362119907648654,0.02209426065319275,Severe
Comamonas,Longitudinal analysis DFSO- overall average,8.523498346339455e-4,0.005859905113108375,Mild
Cupriavidus,Longitudinal analysis DFSO- overall average,0.01961290101805046,0.05575092449612132,Mild
Cutibacterium,Longitudinal analysis DFSO- overall average,2.824499987716605e-7,1.553474993244133e-5,Severe
Finegoldia,Longitudinal analysis DFSO- overall average,0.032580027639283,0.0716760608064226,Severe
Flavobacterium,Longitudinal analysis DFSO - overall shape,5.100936198844523e-4,0.014027574546822439,Severe
Fusobacterium,Longitudinal analysis DFSO- overall average,1.4188058524150855e-5,1.9508580470707426e-4,Severe
Haemophilus,Longitudinal analysis DFSO - overall shape,0.012621398373299652,0.06941769105314809,Mild
Herbaspirillum,Longitudinal analysis DFSO- overall average,0.02511283785119205,0.06278209462798012,Mild
Lawsonella,Longitudinal analysis DFSO - overall shape,0.023629937487555392,0.10830388015129555,Mild
Lawsonella,Longitudinal analysis DFSO- overall average,1.0510253457317407e-4,9.634399002540956e-4,Mild
Leifsonia,Longitudinal analysis DFSO- overall average,0.020293022700232956,0.05575092449612132,Severe
Leptotrichia,Longitudinal analysis DFSO - overall shape,0.0014240590803203657,0.02610774980587337,Mild
Mesorhizobium,Longitudinal analysis DFSO- overall average,0.00448323416227215,0.02209426065319275,Severe
Microbacterium,Longitudinal analysis DFSO- overall average,0.008949828822897885,0.03281603901729225,Severe
Micrococcus,Longitudinal analysis DFSO - overall shape,0.0019021262083465994,0.02615423536476574,Mild
Moraxella,Longitudinal analysis DFSO - overall shape,0.0028542461432064783,0.03139670757527126,Mild
Moraxella,Longitudinal analysis DFSO- overall average,0.01225032360186864,0.03963339988839854,Mild
Mycobacterium,Longitudinal analysis DFSO- overall average,0.031899899359905906,0.0716760608064226,Severe
Mycobacteroides,Longitudinal analysis DFSO- overall average,0.0048205659606966,0.02209426065319275,Severe
Nocardioides,Longitudinal analysis DFSO- overall average,0.021286716625791777,0.05575092449612132,Severe
Ochrobactrum,Longitudinal analysis DFSO- overall average,0.028865865418659854,0.069027069479404,Severe
Paracoccus,Longitudinal analysis DFSO- overall average,0.044929213215883106,0.08438061353063632,Severe
Peptoniphilus,Longitudinal analysis DFSO- overall average,0.010941192804866644,0.03761035026672909,Mild
Porphyromonas,Longitudinal analysis DFSO - overall shape,0.004273416225689422,0.03357684177327403,Severe
Porphyromonas,Longitudinal analysis DFSO- overall average,4.9221702339175494e-5,5.414387257309304e-4,Severe
Prevotella,Longitudinal analysis DFSO- overall average,2.2445202057690168e-6,6.172430565864796e-5,Severe
Rhizobium,Longitudinal analysis DFSO - overall shape,0.004194332649169835,0.03357684177327403,Mild
Rhizobium,Longitudinal analysis DFSO- overall average,0.01401230789376814,0.04281538523095821,Severe
Rhodococcus,Longitudinal analysis DFSO- overall average,0.005792890977648474,0.02450838490543585,Severe
Rothia,Longitudinal analysis DFSO - overall shape,0.03138472291385893,0.12329712573301722,Mild
Sphingobium,Longitudinal analysis DFSO- overall average,0.003231119806154156,0.019745732148719844,Severe
Staphylococcus,Longitudinal analysis DFSO - overall shape,0.010511987070560445,0.06941769105314809,Mild
Staphylococcus,Longitudinal analysis DFSO- overall average,0.03619712108032648,0.07179829629101461,Severe
Stenotrophomonas,Longitudinal analysis DFSO- overall average,0.0491727296536891,0.08609151741348457,Severe
Streptococcus,Longitudinal analysis DFSO - overall shape,0.045372801623428743,0.1559690055805363,Mild
Veillonella,Longitudinal analysis DFSO - overall shape,0.03846873081111946,0.1410520129741047,Mild
