	Ensembl_ID	Gene	Description	Chromosome_Name	Start_Position	End_Position	Strand	Gene_GC_Percent	Biotype	RefSeq_ID	Unigene_ID	Entrez_ID
ENSG00000172197	ENSG00000172197	MBOAT1	membrane bound O-acyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21579]	6	20102145	20212399	-1	42.01	protein_coding	NM_001080480		154141
ENSG00000172199	ENSG00000172199	OR8U1	olfactory receptor family 8 subfamily U member 1 [Source:HGNC Symbol;Acc:HGNC:19611]	11	56375624	56376553	1	43.87	protein_coding	NM_001005204	Hs.553618	219417, 504190
ENSG00000172201	ENSG00000172201	ID4	inhibitor of DNA binding 4, HLH protein [Source:HGNC Symbol;Acc:HGNC:5363]	6	19837386	19840684	1	53.08	protein_coding	NM_001546		3400
ENSG00000172208	ENSG00000172208	OR4X2	olfactory receptor family 4 subfamily X member 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:15184]	11	48245056	48246080	1	48.49	polymorphic_pseudogene	NM_001004727	Hs.553565	119764
ENSG00000172209	ENSG00000172209	GPR22	G protein-coupled receptor 22 [Source:HGNC Symbol;Acc:HGNC:4477]	7	107470018	107475659	1	30.79	protein_coding	, NM_005295	Hs.657277	2845
ENSG00000172215	ENSG00000172215	CXCR6	C-X-C motif chemokine receptor 6 [Source:HGNC Symbol;Acc:HGNC:16647]	3	45940933	45948353	1	45.53	protein_coding	, NM_006564	Hs.34526	10663
ENSG00000172216	ENSG00000172216	CEBPB	CCAAT/enhancer binding protein beta [Source:HGNC Symbol;Acc:HGNC:1834]	20	50190734	50192689	1	66.16	protein_coding	NM_001285878, NM_001285879, NM_005194	Hs.719041	1051
ENSG00000172232	ENSG00000172232	AZU1	azurocidin 1 [Source:HGNC Symbol;Acc:HGNC:913]	19	825097	832018	1	58.64	protein_coding	, NM_001700	Hs.72885	566
ENSG00000172236	ENSG00000172236	TPSAB1	tryptase alpha/beta 1 [Source:HGNC Symbol;Acc:HGNC:12019]	16	1240696	1242554	1	67.08	protein_coding	NM_003294, 	Hs.405479, Hs.592982	7177
ENSG00000172238	ENSG00000172238	ATOH1	atonal bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:797]	4	93828753	93830964	1	52.35	protein_coding	NM_005172		474
ENSG00000172239	ENSG00000172239	PAIP1	poly(A) binding protein interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16945]	5	43526267	43557758	-1	38.36	protein_coding	NM_006451, NM_182789, , NM_183323	Hs.482038	10605
ENSG00000172243	ENSG00000172243	CLEC7A	C-type lectin domain containing 7A [Source:HGNC Symbol;Acc:HGNC:14558]	12	10116777	10130258	-1	37.42	protein_coding	NM_197949, NM_022570, , NM_197950, NM_197947, NM_197948, NM_197954		64581
ENSG00000172244	ENSG00000172244	C5orf34	chromosome 5 open reading frame 34 [Source:HGNC Symbol;Acc:HGNC:24738]	5	43486701	43515145	-1	37.92	protein_coding	NM_198566, 	Hs.661641	375444
ENSG00000172247	ENSG00000172247	C1QTNF4	C1q and TNF related 4 [Source:HGNC Symbol;Acc:HGNC:14346]	11	47589664	47594659	-1	59.43	protein_coding	NM_031909, 		114900
ENSG00000172250	ENSG00000172250	SERHL	serine hydrolase-like (pseudogene) [Source:HGNC Symbol;Acc:HGNC:14408]	22	42500579	42512560	1	55.56	processed_transcript		Hs.360940	94009
ENSG00000172260	ENSG00000172260	NEGR1	neuronal growth regulator 1 [Source:HGNC Symbol;Acc:HGNC:17302]	1	71395940	72282734	-1	34.95	protein_coding	NM_173808, 		257194
ENSG00000172262	ENSG00000172262	ZNF131	zinc finger protein 131 [Source:HGNC Symbol;Acc:HGNC:12915]	5	43065176	43192021	1	44.17	protein_coding	, NM_001330707, NM_001330712, NM_001330714, NM_001330708, NM_001297548, NM_003432, NM_001330713, NM_001330706, NM_001330715, NM_001330711, NM_001330704	Hs.535804	7690
ENSG00000172264	ENSG00000172264	MACROD2	MACRO domain containing 2 [Source:HGNC Symbol;Acc:HGNC:16126]	20	13995369	16053197	1	37.94	protein_coding	NM_080676, , NM_001033087	Hs.536596, Hs.661576	140733
ENSG00000172269	ENSG00000172269	DPAGT1	dolichyl-phosphate N-acetylglucosaminephosphotransferase 1 [Source:HGNC Symbol;Acc:HGNC:2995]	11	119096503	119108331	-1	50.74	protein_coding	, NM_001382	Hs.524081	1798
ENSG00000172270	ENSG00000172270	BSG	basigin (Ok blood group) [Source:HGNC Symbol;Acc:HGNC:1116]	19	571277	583493	1	62.58	protein_coding	NM_198590, NM_198591, NM_001728, , NM_198589, NM_001322243	Hs.501293	682
ENSG00000172273	ENSG00000172273	HINFP	histone H4 transcription factor [Source:HGNC Symbol;Acc:HGNC:17850]	11	119121587	119136044	1	48.01	protein_coding	NM_015517, NM_198971, , NM_001243259		25988
ENSG00000172283	ENSG00000172283	PRYP4	PTPN13-like, Y-linked pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:34021]	Y	25975549	25988069	1	41.27	unprocessed_pseudogene			NA
ENSG00000172288	ENSG00000172288	CDY1	chromodomain Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:1809]	Y	25622162	25624902	1	41.19	protein_coding	NM_170723, NM_004680		9085
ENSG00000172289	ENSG00000172289	OR10V1	olfactory receptor family 10 subfamily V member 1 [Source:HGNC Symbol;Acc:HGNC:15136]	11	59712916	59713845	-1	47.85	protein_coding	NM_001005324	Hs.589001	390201
ENSG00000172292	ENSG00000172292	CERS6	ceramide synthase 6 [Source:HGNC Symbol;Acc:HGNC:23826]	2	168455862	168775137	1	39.32	protein_coding	NM_203463, NM_001256126	Hs.743222	253782
ENSG00000172294	ENSG00000172294	CSPG4P4Y	chondroitin sulfate proteoglycan 4 pseudogene 4, Y-linked [Source:HGNC Symbol;Acc:HGNC:38535]	Y	25478269	25483630	1	56.51	unprocessed_pseudogene			NA
ENSG00000172296	ENSG00000172296	SPTLC3	serine palmitoyltransferase long chain base subunit 3 [Source:HGNC Symbol;Acc:HGNC:16253]	20	13008979	13169103	1	39.89	protein_coding	, NM_018327		55304
ENSG00000172297	ENSG00000172297	GOLGA2P3Y	golgin A2 pseudogene 3, Y-linked [Source:HGNC Symbol;Acc:HGNC:32426]	Y	25454561	25460572	1	54.14	unprocessed_pseudogene			NA
ENSG00000172301	ENSG00000172301	COPRS	coordinator of PRMT5 and differentiation stimulator [Source:HGNC Symbol;Acc:HGNC:28848]	17	31851864	31859337	-1	49.04	protein_coding	NM_018405, NM_001330176, 		55352
ENSG00000172315	ENSG00000172315	TP53RK	TP53 regulating kinase [Source:HGNC Symbol;Acc:HGNC:16197]	20	46684365	46689779	-1	45.1	protein_coding	NM_033550, 	Hs.440263	112858
ENSG00000172318	ENSG00000172318	B3GALT1	beta-1,3-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:916]	2	167868948	167874041	1	39.22	protein_coding	NM_020981		8708
ENSG00000172320	ENSG00000172320	OR5A1	olfactory receptor family 5 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:8319]	11	59436469	59451380	1	39.21	protein_coding	, NM_001004728	Hs.553649	219982
ENSG00000172322	ENSG00000172322	CLEC12A	C-type lectin domain family 12 member A [Source:HGNC Symbol;Acc:HGNC:31713]	12	9951316	9995694	1	39.56	protein_coding	NM_001207010, , NM_138337, NM_001300730, NM_201623	Hs.190519	160364
ENSG00000172324	ENSG00000172324	OR5A2	olfactory receptor family 5 subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:15249]	11	59416969	59426412	-1	39.78	protein_coding	, NM_001001954		219981
ENSG00000172331	ENSG00000172331	BPGM	bisphosphoglycerate mutase [Source:HGNC Symbol;Acc:HGNC:1093]	7	134646808	134679813	1	39.66	protein_coding	NM_001724, NM_001293085, NM_199186, 	Hs.198365	669
ENSG00000172336	ENSG00000172336	POP7	POP7 homolog, ribonuclease P/MRP subunit [Source:HGNC Symbol;Acc:HGNC:19949]	7	100706053	100707495	1	59.81	protein_coding	NM_005837, 		10248
ENSG00000172339	ENSG00000172339	ALG14	ALG14, UDP-N-acetylglucosaminyltransferase subunit [Source:HGNC Symbol;Acc:HGNC:28287]	1	94974407	95072945	-1	40.5	protein_coding	NM_144988, NM_001305242, 		199857
ENSG00000172340	ENSG00000172340	SUCLG2	succinate-CoA ligase GDP-forming beta subunit [Source:HGNC Symbol;Acc:HGNC:11450]	3	67360460	67654614	-1	39.38	protein_coding	NM_001177599, , NM_003848	Hs.644919	8801
ENSG00000172342	ENSG00000172342	CSPG4P3Y	chondroitin sulfate proteoglycan 4 pseudogene 3, Y-linked [Source:HGNC Symbol;Acc:HGNC:38111]	Y	24186509	24191870	-1	56.49	unprocessed_pseudogene			NA
ENSG00000172345	ENSG00000172345	STARD5	StAR related lipid transfer domain containing 5 [Source:HGNC Symbol;Acc:HGNC:18065]	15	81309053	81324183	-1	48.35	protein_coding	NM_181900, 	Hs.513075	80765
ENSG00000172346	ENSG00000172346	CSDC2	cold shock domain containing C2 [Source:HGNC Symbol;Acc:HGNC:30359]	22	41560763	41577741	1	55.8	protein_coding	NM_014460, 	Hs.310893	27254
ENSG00000172348	ENSG00000172348	RCAN2	regulator of calcineurin 2 [Source:HGNC Symbol;Acc:HGNC:3041]	6	46220736	46491972	-1	39.65	protein_coding	NM_005822, NM_001251974, NM_001251973, 	Hs.440168	10231
ENSG00000172349	ENSG00000172349	IL16	interleukin 16 [Source:HGNC Symbol;Acc:HGNC:5980]	15	81159575	81314058	1	43.65	protein_coding	, NM_001172128, NM_172217, NM_004513		3603
ENSG00000172350	ENSG00000172350	ABCG4	ATP binding cassette subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:13884]	11	119149012	119162653	1	54.49	protein_coding	NM_001348191, NM_022169, , NM_001142505	Hs.126378	64137
ENSG00000172352	ENSG00000172352	CDY1B	chromodomain Y-linked 1B [Source:HGNC Symbol;Acc:HGNC:23920]	Y	24045229	24048019	-1	41.35	protein_coding	NM_001003895, NM_001003894		253175
ENSG00000172354	ENSG00000172354	GNB2	G protein subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:4398]	7	100673531	100679174	1	65.91	protein_coding	NM_005273, 		2783
ENSG00000172361	ENSG00000172361	CFAP53	cilia and flagella associated protein 53 [Source:HGNC Symbol;Acc:HGNC:26530]	18	50227193	50266522	-1	41.2	protein_coding	NM_145020	Hs.658630	220136
ENSG00000172362	ENSG00000172362	OR5B12	olfactory receptor family 5 subfamily B member 12 [Source:HGNC Symbol;Acc:HGNC:15432]	11	58439077	58442758	-1	36.04	protein_coding	, NM_001004733	Hs.553754	390191
ENSG00000172365	ENSG00000172365	OR5B2	olfactory receptor family 5 subfamily B member 2 [Source:HGNC Symbol;Acc:HGNC:8323]	11	58421264	58428121	-1	36.79	protein_coding	, NM_001005566	Hs.553753	390190
ENSG00000172366	ENSG00000172366	MCRIP2	MAPK regulated corepressor interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:14142]	16	636817	648474	1	62.73	protein_coding	, NM_138418	Hs.706105, Hs.730130	84331, 100287175
ENSG00000172367	ENSG00000172367	PDZD3	PDZ domain containing 3 [Source:HGNC Symbol;Acc:HGNC:19891]	11	119185457	119190223	1	57.77	protein_coding	, NM_001168468, NM_024791		79849
ENSG00000172375	ENSG00000172375	C2CD2L	C2CD2 like [Source:HGNC Symbol;Acc:HGNC:29000]	11	119102198	119118544	1	52.4	protein_coding	, NM_014807, NM_001290474	Hs.617392	9854
ENSG00000172377	ENSG00000172377	OR9I1	olfactory receptor family 9 subfamily I member 1 [Source:HGNC Symbol;Acc:HGNC:14718]	11	58116742	58125530	-1	38.32	protein_coding	, NM_001005211	Hs.632122	219954
ENSG00000172379	ENSG00000172379	ARNT2	aryl hydrocarbon receptor nuclear translocator 2 [Source:HGNC Symbol;Acc:HGNC:16876]	15	80404350	80597937	1	45.48	protein_coding	, NM_014862	Hs.459070	9915
ENSG00000172380	ENSG00000172380	GNG12	G protein subunit gamma 12 [Source:HGNC Symbol;Acc:HGNC:19663]	1	67701466	67833467	-1	41.55	protein_coding	NM_018841, 	Hs.431101	55970
ENSG00000172382	ENSG00000172382	PRSS27	protease, serine 27 [Source:HGNC Symbol;Acc:HGNC:15475]	16	2712418	2720551	-1	61.19	protein_coding	NM_031948, , NM_001318395	Hs.332878	83886
ENSG00000172399	ENSG00000172399	MYOZ2	myozenin 2 [Source:HGNC Symbol;Acc:HGNC:1330]	4	119135784	119187789	1	36.64	protein_coding	NM_016599	Hs.732122	51778
ENSG00000172403	ENSG00000172403	SYNPO2	synaptopodin 2 [Source:HGNC Symbol;Acc:HGNC:17732]	4	118850688	119061247	1	38.36	protein_coding	NM_001286754, NM_133477, NM_001128933, NM_001128934, , NM_001286755	Hs.655519	171024
ENSG00000172404	ENSG00000172404	DNAJB7	DnaJ heat shock protein family (Hsp40) member B7 [Source:HGNC Symbol;Acc:HGNC:24986]	22	40859549	40862126	-1	36.66	protein_coding	NM_145174	Hs.585042	150353
ENSG00000172409	ENSG00000172409	CLP1	cleavage and polyadenylation factor I subunit 1 [Source:HGNC Symbol;Acc:HGNC:16999]	11	57648992	57661868	1	47.28	protein_coding	, NM_001142597, NM_006831	Hs.523687	10978
ENSG00000172410	ENSG00000172410	INSL5	insulin like 5 [Source:HGNC Symbol;Acc:HGNC:6088]	1	66797741	66801256	-1	37.34	protein_coding	NM_005478	Hs.251380	10022
ENSG00000172421	ENSG00000172421	EFCAB3	EF-hand calcium binding domain 3 [Source:HGNC Symbol;Acc:HGNC:26379]	17	62343941	62416479	1	40.21	protein_coding	, NM_173503, NM_001144933	Hs.152670	146779
ENSG00000172425	ENSG00000172425	TTC36	tetratricopeptide repeat domain 36 [Source:HGNC Symbol;Acc:HGNC:33708]	11	118527472	118531197	1	53.95	protein_coding	NM_001080441, NM_001346097, NM_001346096	Hs.653449	143941
ENSG00000172426	ENSG00000172426	RSPH9	radial spoke head 9 homolog [Source:HGNC Symbol;Acc:HGNC:21057]	6	43645046	43672599	1	50.65	protein_coding	NM_001193341, NM_152732		221421
ENSG00000172428	ENSG00000172428	COPS9	COP9 signalosome subunit 9 [Source:HGNC Symbol;Acc:HGNC:21314]	2	240126563	240136807	-1	54.66	protein_coding	NM_138336, NM_001163424, 		150678
ENSG00000172432	ENSG00000172432	GTPBP2	GTP binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4670]	6	43605316	43629162	-1	46.56	protein_coding	, NM_019096, NM_001286216	Hs.485449	54676
ENSG00000172456	ENSG00000172456	FGGY	FGGY carbohydrate kinase domain containing [Source:HGNC Symbol;Acc:HGNC:25610]	1	59296638	59810647	1	40.3	protein_coding	, NM_001350790, NM_001113411, NM_001350791, NM_018291, NM_001244714, NM_001278224	Hs.444301	55277
ENSG00000172457	ENSG00000172457	OR9G4	olfactory receptor family 9 subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:15322]	11	56741223	56748697	-1	39.65	protein_coding	, NM_001005284	Hs.554521	283189
ENSG00000172458	ENSG00000172458	IL17D	interleukin 17D [Source:HGNC Symbol;Acc:HGNC:5984]	13	20702127	20723098	1	52.71	protein_coding	, NM_138284		53342
ENSG00000172459	ENSG00000172459	OR5AR1	olfactory receptor family 5 subfamily AR member 1 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:15260]	11	56663662	56664687	1	45.91	polymorphic_pseudogene	NM_001004730	Hs.553633	219493
ENSG00000172460	ENSG00000172460	PRSS30P	protease, serine, 30 pseudogene [Source:HGNC Symbol;Acc:HGNC:28753]	16	2839568	2842744	-1	61.95	transcribed_unitary_pseudogene		Hs.434388	124221
ENSG00000172461	ENSG00000172461	FUT9	fucosyltransferase 9 [Source:HGNC Symbol;Acc:HGNC:4020]	6	96015984	96215612	1	35.22	protein_coding	, NM_006581	Hs.49117	10690
ENSG00000172464	ENSG00000172464	OR5AP2	olfactory receptor family 5 subfamily AP member 2 [Source:HGNC Symbol;Acc:HGNC:15258]	11	56641466	56642471	-1	43.34	protein_coding	NM_001002925	Hs.449692	338675
ENSG00000172465	ENSG00000172465	TCEAL1	transcription elongation factor A like 1 [Source:HGNC Symbol;Acc:HGNC:11616]	X	103628704	103630953	1	50.67	protein_coding	NM_001006640, NM_004780, NM_001006639, 	Hs.95243	9338
ENSG00000172466	ENSG00000172466	ZNF24	zinc finger protein 24 [Source:HGNC Symbol;Acc:HGNC:13032]	18	35332212	35345482	-1	39.65	protein_coding	NM_006965, NM_001308123, 	Hs.514802	7572
ENSG00000172468	ENSG00000172468	HSFY1	heat shock transcription factor, Y-linked 1 [Source:HGNC Symbol;Acc:HGNC:18568]	Y	18546671	18588963	1	39.22	protein_coding	NM_033108, NM_152584, 	Hs.592255, Hs.662281	86614
ENSG00000172469	ENSG00000172469	MANEA	mannosidase endo-alpha [Source:HGNC Symbol;Acc:HGNC:21072]	6	95577543	95609457	1	33.8	protein_coding	, NM_024641	Hs.734632, Hs.743412	79694
ENSG00000172476	ENSG00000172476	RAB40A	RAB40A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18283]	X	103499130	103519489	-1	39.11	protein_coding	NM_080879, 		142684
ENSG00000172478	ENSG00000172478	C2orf54	chromosome 2 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:26216]	2	240886048	240896889	-1	62.73	protein_coding	NM_024861, NM_001282921, NM_001085437, 		79919
ENSG00000172482	ENSG00000172482	AGXT	alanine-glyoxylate aminotransferase [Source:HGNC Symbol;Acc:HGNC:341]	2	240868479	240880502	1	61.68	protein_coding	NM_000030, 		189
ENSG00000172487	ENSG00000172487	OR8J1	olfactory receptor family 8 subfamily J member 1 [Source:HGNC Symbol;Acc:HGNC:14855]	11	56354291	56361511	1	34.73	protein_coding	, NM_001005205	Hs.626841	219477
ENSG00000172489	ENSG00000172489	OR5T3	olfactory receptor family 5 subfamily T member 3 [Source:HGNC Symbol;Acc:HGNC:15297]	11	56252200	56253222	1	38.81	protein_coding	, NM_001004747	Hs.553746	390154
ENSG00000172493	ENSG00000172493	AFF1	AF4/FMR2 family member 1 [Source:HGNC Symbol;Acc:HGNC:7135]	4	86935002	87141054	1	41.19	protein_coding	, NM_001313959, NM_005935, NM_001166693, NM_001313960	Hs.480190	4299
ENSG00000172497	ENSG00000172497	ACOT12	acyl-CoA thioesterase 12 [Source:HGNC Symbol;Acc:HGNC:24436]	5	81330005	81394179	-1	40.74	protein_coding	NM_130767, 	Hs.591756	134526
ENSG00000172500	ENSG00000172500	FIBP	FGF1 intracellular binding protein [Source:HGNC Symbol;Acc:HGNC:3705]	11	65883741	65888539	-1	55.12	protein_coding	, NM_198897, NM_004214		9158
ENSG00000172508	ENSG00000172508	CARNS1	carnosine synthase 1 [Source:HGNC Symbol;Acc:HGNC:29268]	11	67414968	67425607	1	62.67	protein_coding	, NM_020811, NM_001166222	Hs.502982	57571
ENSG00000172519	ENSG00000172519	OR10H5	olfactory receptor family 10 subfamily H member 5 [Source:HGNC Symbol;Acc:HGNC:15389]	19	15787661	15801025	1	48.1	protein_coding	, NM_001004466	Hs.553676	284433
ENSG00000172524	ENSG00000172524	TRIM40	tripartite motif containing 40 [Source:HGNC Symbol;Acc:HGNC:18736]	CHR_HSCHR6_MHC_QBL_CTG1	30125643	30138271	1	42.67	protein_coding	NM_001286633, , NM_138700	Hs.509439	135644
ENSG00000172530	ENSG00000172530	BANP	BTG3 associated nuclear protein [Source:HGNC Symbol;Acc:HGNC:13450]	16	87949244	88077318	1	51.17	protein_coding	, NM_001173540, NM_079837, NM_001173541, NM_001173539, NM_017869, NM_001173543, NM_001173542	Hs.461705, Hs.690969	54971
ENSG00000172531	ENSG00000172531	PPP1CA	protein phosphatase 1 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9281]	11	67398183	67421183	-1	61.16	protein_coding	NM_001008709, , NM_002708, NM_206873		5499
ENSG00000172534	ENSG00000172534	HCFC1	host cell factor C1 [Source:HGNC Symbol;Acc:HGNC:4839]	X	153947553	153971807	-1	59.51	protein_coding	NM_005334, 	Hs.83634	3054
ENSG00000172538	ENSG00000172538	FAM170B	family with sequence similarity 170 member B [Source:HGNC Symbol;Acc:HGNC:19736]	10	49131154	49134008	-1	49.77	protein_coding	NM_001164484	Hs.646291	170370
ENSG00000172543	ENSG00000172543	CTSW	cathepsin W [Source:HGNC Symbol;Acc:HGNC:2546]	11	65879809	65883741	1	59.12	protein_coding	NM_001335, 	Hs.416848	1521
ENSG00000172548	ENSG00000172548	NIPAL4	NIPA like domain containing 4 [Source:HGNC Symbol;Acc:HGNC:28018]	5	157460019	157474717	1	47.87	protein_coding	NM_001172292, NM_001099287, 	Hs.4285	348938
ENSG00000172551	ENSG00000172551	MUCL1	mucin like 1 [Source:HGNC Symbol;Acc:HGNC:30588]	12	54830519	54858393	1	37.09	protein_coding	, NM_058173	Hs.348419	118430
ENSG00000172554	ENSG00000172554	SNTG2	syntrophin gamma 2 [Source:HGNC Symbol;Acc:HGNC:13741]	2	950868	1367613	1	42.84	protein_coding	, NM_018968	Hs.595069	54221
ENSG00000172568	ENSG00000172568	FNDC9	fibronectin type III domain containing 9 [Source:HGNC Symbol;Acc:HGNC:33547]	5	157341600	157345721	-1	45.39	protein_coding	NM_001001343, 	Hs.437066	408263
ENSG00000172572	ENSG00000172572	PDE3A	phosphodiesterase 3A [Source:HGNC Symbol;Acc:HGNC:8778]	12	20369245	20684381	1	35.95	protein_coding	NM_000921, NM_001244683, 	Hs.386791	5139
ENSG00000172575	ENSG00000172575	RASGRP1	RAS guanyl releasing protein 1 [Source:HGNC Symbol;Acc:HGNC:9878]	15	38488103	38565575	-1	41.82	protein_coding	NM_005739, NM_001128602, , NM_001306086	Hs.591127	10125
ENSG00000172578	ENSG00000172578	KLHL6	kelch like family member 6 [Source:HGNC Symbol;Acc:HGNC:18653]	3	183487531	183555689	-1	45.23	protein_coding	NM_130446, 	Hs.659147	89857
ENSG00000172586	ENSG00000172586	CHCHD1	coiled-coil-helix-coiled-coil-helix domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23518]	10	73782047	73783652	1	45.52	protein_coding	, NM_203298		118487
ENSG00000172590	ENSG00000172590	MRPL52	mitochondrial ribosomal protein L52 [Source:HGNC Symbol;Acc:HGNC:16655]	14	22829879	22835037	1	47.12	protein_coding	, NM_181306, NM_178336, NM_180982, NM_181305, NM_001318870, NM_181304, NM_181307		122704
ENSG00000172594	ENSG00000172594	SMPDL3A	sphingomyelin phosphodiesterase acid like 3A [Source:HGNC Symbol;Acc:HGNC:17389]	6	122789049	122809720	1	40.47	protein_coding	NM_006714, , NM_001286138		10924
ENSG00000172602	ENSG00000172602	RND1	Rho family GTPase 1 [Source:HGNC Symbol;Acc:HGNC:18314]	12	48857145	48865898	-1	52.12	protein_coding	, NM_014470	Hs.124940	27289
ENSG00000172613	ENSG00000172613	RAD9A	RAD9 checkpoint clamp component A [Source:HGNC Symbol;Acc:HGNC:9827]	11	67317871	67398410	1	52.03	protein_coding	, NM_004584, NM_001243224	Hs.655354	5883
ENSG00000172638	ENSG00000172638	EFEMP2	EGF containing fibulin like extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3219]	11	65866441	65873592	-1	60.57	protein_coding	, NM_016938		30008
ENSG00000172640	ENSG00000172640	OR10AD1	olfactory receptor family 10 subfamily AD member 1 [Source:HGNC Symbol;Acc:HGNC:14819]	12	48202083	48203387	-1	50.5	protein_coding	NM_001004134		121275
ENSG00000172650	ENSG00000172650	AGAP5	ArfGAP with GTPase domain, ankyrin repeat and PH domain 5 [Source:HGNC Symbol;Acc:HGNC:23467]	10	73674285	73698159	-1	42.24	protein_coding	, NM_001144000		729092
ENSG00000172661	ENSG00000172661	WASHC2C	WASH complex subunit 2C [Source:HGNC Symbol;Acc:HGNC:23414]	10	45727200	45792961	1	42.53	protein_coding	NM_015262, NM_001330074, , NM_001169106, NM_001169107	Hs.365286, Hs.645272	253725
ENSG00000172663	ENSG00000172663	TMEM134	transmembrane protein 134 [Source:HGNC Symbol;Acc:HGNC:26142]	11	67461710	67469272	-1	56.67	protein_coding	NM_025124, NM_001078651, , NM_001078650	Hs.288761	80194
ENSG00000172667	ENSG00000172667	ZMAT3	zinc finger matrin-type 3 [Source:HGNC Symbol;Acc:HGNC:29983]	3	179017223	179072279	-1	40.73	protein_coding	NM_022470, NM_152240, 	Hs.371609	64393
ENSG00000172671	ENSG00000172671	ZFAND4	zinc finger AN1-type containing 4 [Source:HGNC Symbol;Acc:HGNC:23504]	10	45615501	45672780	-1	37.95	protein_coding	NM_174890, NM_001128324, , NM_001282905, NM_001282906		93550
ENSG00000172673	ENSG00000172673	THEMIS	thymocyte selection associated [Source:HGNC Symbol;Acc:HGNC:21569]	6	127708072	127918631	-1	35.12	protein_coding	, NM_001164685, NM_001164687, NM_001010923, NM_001318531		387357
ENSG00000172680	ENSG00000172680	MOS	MOS proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:7199]	8	56112942	56113982	-1	61	protein_coding	NM_005372	Hs.533432	4342
ENSG00000172687	ENSG00000172687	ZNF738	zinc finger protein 738 [Source:HGNC Symbol;Acc:HGNC:32469]	19	21358930	21379302	1	40.08	protein_coding			NA
ENSG00000172689	ENSG00000172689	MS4A10	membrane spanning 4-domains A10 [Source:HGNC Symbol;Acc:HGNC:13368]	11	60785348	60801305	1	51.97	protein_coding	NM_206893	Hs.591956	341116
ENSG00000172716	ENSG00000172716	SLFN11	schlafen family member 11 [Source:HGNC Symbol;Acc:HGNC:26633]	17	35350305	35373701	-1	39.26	protein_coding	NM_152270, NM_001104589, NM_001104590, NM_001104587, NM_001104588, 	Hs.745059	91607
ENSG00000172717	ENSG00000172717	FAM71D	family with sequence similarity 71 member D [Source:HGNC Symbol;Acc:HGNC:20101]	14	67189393	67228550	1	41.17	protein_coding	, NM_173526	Hs.412818	161142
ENSG00000172724	ENSG00000172724	CCL19	C-C motif chemokine ligand 19 [Source:HGNC Symbol;Acc:HGNC:10617]	9	34689567	34691277	-1	55.23	protein_coding	NM_006274, 		6363
ENSG00000172725	ENSG00000172725	CORO1B	coronin 1B [Source:HGNC Symbol;Acc:HGNC:2253]	11	67435510	67443821	-1	64.53	protein_coding	, NM_020441, NM_001018070	Hs.6191	57175
ENSG00000172728	ENSG00000172728	FUT10	fucosyltransferase 10 [Source:HGNC Symbol;Acc:HGNC:19234]	8	33370824	33473422	-1	43.12	protein_coding	NM_032664, 		84750
ENSG00000172731	ENSG00000172731	LRRC20	leucine rich repeat containing 20 [Source:HGNC Symbol;Acc:HGNC:23421]	10	70298970	70382650	-1	49.41	protein_coding	NM_207119, NM_001278211, NM_018239, NM_018205, , NM_001278213, NM_001278214, NM_001278212	Hs.7778	55222
ENSG00000172732	ENSG00000172732	MUS81	MUS81 structure-specific endonuclease subunit [Source:HGNC Symbol;Acc:HGNC:29814]	11	65857126	65867653	1	60.2	protein_coding	, NM_001350283, NM_025128	Hs.288798	80198
ENSG00000172733	ENSG00000172733	PURG	purine rich element binding protein G [Source:HGNC Symbol;Acc:HGNC:17930]	8	30995802	31033715	-1	36.48	protein_coding	NM_001323312, NM_001015508, NM_001323311, NM_013357, 	Hs.373778	29942
ENSG00000172738	ENSG00000172738	TMEM217	transmembrane protein 217 [Source:HGNC Symbol;Acc:HGNC:21238]	6	37212180	37258155	-1	43.72	protein_coding	NM_001286401, NM_145316, , NM_001162900		221468
ENSG00000172742	ENSG00000172742	OR4D9	olfactory receptor family 4 subfamily D member 9 [Source:HGNC Symbol;Acc:HGNC:15178]	11	59511368	59520703	1	42.42	protein_coding	, NM_001004711	Hs.553757	390199
